"","X.3","X.2","X.1","X","songid","song","performer","n","lyrics","sentiment"
"56",56,56,56,56,"Santa's A Fat BitchInsane Clown Posse","Santa's A Fat Bitch","Insane Clown Posse",5,"Sleigh bells jingle-ling rin jing jingle-ling Horses, horses, horses, horses Sleigh bells jingle-ling ring jing jingle-ling (gunshot) Santa Claus suck my balls Drunk as hell rinking bells at the malls Dancer, Prancer, Vixen, and Cupid I'm a get stupid, ha ha ha, eh I sat around all night under the chimney Holdin my sack like ""gimme gimme"" I know that he's commin, he's commin he must Lookin up nuthin but rust, dust Turn on my tv the very next day I see your gettin payed Leadin the parade I'm that sniper on the buildin Listen to my nine go click, Santas a fat bitch Santa Claus is a fat bitch (Santa Claus is a fat fat bitch) Another year and I ain't get shit (Another year I ain't get shit) If I hear him land on my roof (Ohh my undertaker) I'm a bust your ass in the too-hoo-hoo-hoo-hooth Yeah I got somthin to say about St. Nick Fuck that ho, he never brought Shaggs shit No toys, candy canes, just a lump of coal So I eat it, cuz there ain't nuttin in the cupboards So I'll be quick, quick and brief Alls I need for Christmas is my two front teeth I got mine kicked, kicked out my mouth I need a few new ones could you help me out? Should've known I'd get the short end of the stick No kind of gift I didn't get shit Some say I was bad but that wasn't it It's all because, Santa's a fat bitch Santa Claus is a fat bitch (Santa fuck you 'cause you're a ho) Another year and I ain't got shit (Another year I ain't get shit) If I hear him land on my roof I'm a bust your ass in the too-hoo-hoo-hoo-hooth ""Oh-ho-ho don't go that way Rudolph! That's the ghetto! Ho-ho, those boys and girls don't deserve anything."" Santa Claus, Santa Claus where you been? I see you got cookies and milk on your chin I guess you had time to collect your ends You always been down for your rich friends But Rudolph, he don't bring his sleigh my way Nothing but coal and dirt for little J I guess you couldn't fit down my chimney shaft You need to lose some of that fat ass, eh All the little rich boys they gettin paid Counting the toys and ducats they made Me? I got a little half little chunk of dog shit I'm a kill that fat bitch Santa Claus is a fat bitch (He ate too much McDonald's) Another year and I ain't get shit (Mrs. Claus is a ho) If I hear him land on my roof (Slice that bitch in the big red coat) I'm a bust your ass in the too-hoo-hoo-hoo-hooth T'was the night before Christmas and everythings whack Not a creature stirring but a fucking rat I ain't hearin jingle bells I ain't hearin nuttin Ain't smelling no turky sure as hell ain't no stuffing All that I paid, wished and prayed That fat motherfucker would swing my way And drop off soldiers and rubber balls But I woke up and found some crusty old drawers Yep, yep I knew it! The shaft again, and again, and again, and again Every year I wake up to the same old shit... house empty No sign of the fat bitch! Santa Claus is a fat bitch (Santa Claus is a fat bitch) Another year and I ain't get shit (Another year I ain't get shit) If I hear him land on my roof (If I hear him land on my roof) I'm a bust your ass in the too-hoo-hoo-hoo-hooth Santa Claus is a fat bitch (Santa Claus is a fat bitch) Another year and I ain't get shit (I ain't ge-et shi-it) If I hear him land on my roof (Ro-hoo-hoo-hoo-hoof) I'm a bust your ass in the too-hoo-hoo-hoo-hooth (record scratching) ""He's got a fuzzy white beard and a great big smile A bright red hat you can see for a mile A bag full of goodies and a great big grin Here comes Santa Claus again.""",-27
"57",57,57,57,57,"Shake Up ChristmasTrain","Shake Up Christmas","Train",1,"Intro: Ho, ho, ho Shake up the happiness Wake up the happiness Shake up the happiness It's christmas time Verse: There's a story that I was told And I wanna tell the world Before I get too old And don't remember it So let's december it And reassemble it (oh yeah) Pre-Chorus: Once upon a time in a town like this A little girl made a great big wish To feel the world full of happiness And be on Santa's magic list Chorus: Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Ho, Ho, Ho Ho, Ho, Ho It's Christmas time Verse: At the same time miles away A little boy made a wish that day That the world would be okay And Santa Claus would hear him say I got dreams and I got love I got my feet on the ground And family above Can you send some happiness? With my best to the rest Of the people of the East and the West and Maybe every once in a while you Get my grandma a reason to smile Tis the season of smile It's cold but we'll be freezing in style Pre-Chorus: Let me meet a girl one day that Wants to spread some love this way We can let our souls run free and She can know some happiness with me Chorus: Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Bridge: I know you're out there I hear your reindeer I see the snow where Your boots have been I'm gonna show them So they will know then Their love will grow and They believe again Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Ho, ho, ho Ho, ho, ho It's Christmas time Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Shake it up Shake up the happiness Wake it up Wake up the happiness Come on you all It's Christmas time Ho, ho, ho Ho, ho, ho Ho, ho, ho It's Christmas time",21
"58",58,58,58,58,"Silent NightBing Crosby","Silent Night","Bing Crosby",2,"Silent night, holy night all is calm, all is bright Round yon virgin, mother and child Holy infant so tender and mild Sleep in heavenly peace, sleep in heavenly peace Silent night, holy night all is calm, all is bright Round yon virgin, mother and child Holy infant so tender and mild Sleep in heavenly peace, sleep in heavenly peace",11
"59",59,59,59,59,"The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks","The Chipmunk Song (Christmas Don't Be Late)","David Seville And The Chipmunks",16,"It was the night before Christmas when all through the castle My monsters were having a Yuletide hassle The tree was all trimmed in ghoulish things Like werewolf fangs and vampire wings (It was a monsters' holiday) But they were up to no good (It was a monsters' holiday) Didn't act like good monsters should (It was a monsters' holiday) They found themselves a new play (It was a monsters' holiday) They planned to rob Santa's sleigh They were making a list and checking it twice Frankenstein wanted a shiny new trike A new chain for Yarnush A brace for Igor's back A speed shaver for Wolfman A new cape for Drak (It was a monsters' holiday) But they were up to no good (It was a monsters' holiday) Didn't act like good monster's should (It was a monsters' holiday) They found themselves a new play (It was a monsters' holiday) They planned to rob Santa's sleigh The Mummy was to signal from the castle roof At the very first sound of a reindeer hoof As Santa slid down the chimney wall The zombies were to make off with sleigh and all From beyond the moat, there arose such a clatter I jumped to the window to see what was the matter Like a bolt of lightning, it happened so quick And there in our midst stood old Saint Nick He began to dig down deep in his sack And came up with the traction for Igor's back Drak got his cape Franky's trike made him behave Even Wolfman was happy, now he can shave (It was a monsters' holiday) And all ended well (It was a monsters' holiday) And Santa was really swell (It was a monsters' holiday) No need to rob Santa's sleigh (It was a monsters' holiday) Maybe next year he'll come back So the children everywhere were spared the grief Of losing their presents to a monster sleigh thief Now the monsters love Santa and say they'll behave And never again rob sleighs or graves (It was a monsters' holiday!) Igor, what do you think of Santa now? ""Arrrrrr, Santa good!"" And Santa said as he drove out of sight ""Merry Christmas to all and to all a good night!"" Jingle bells, jingle bells, jingle all the way Oh what fun it is to ride in a one-wolf open sleigh Dashing through the snow Where is that reindeer with the red nose On Dasher and Dancer and Comet and Cupid",11
"60",60,60,60,60,"The Christmas ShoesNewSong","The Christmas Shoes","NewSong",2,"It was almost Christmas time And there I stood in another line Trying to buy that last gift or two Not really in the Christmas mood Standing right in front of me Was a little boy waiting anxiously Pacing 'round like little boys do And in his hands he held a pair of shoes And his clothes were worn and old He was dirty from head to toe And when it came his time to pay I couldn't believe what I heard him say Sir, I want to buy these shoes for my Mama, please It's Christmas Eve and these shoes are just her size Could you hurry, sir, Daddy says there's not much time You see, she's been sick for quite awhile And I know these shoes would make her smile And I want her to look beautiful if Mama meets Jesus tonight He counted pennies for what seemed like years Then the Cashier said, ""Son, there's not enough here"" He searched his pockets frantically Then he turned and he looked at me He said, ""Mama made Christmas good at our house Though most years she just did without"" ""Tell me, sir, what am I going to do Somehow I've got to buy her these Christmas shoes"" So I laid the money down, I just had to help him out And I'll never forget the look on his face when he said ""Mama's gonna look so great"" Sir, I want to buy these shoes for my Mama, please It's Christmas Eve and these shoes are just her size Could you hurry, sir, Daddy says there's not much time You see, she's been sick for quite awhile And I know these shoes would make her smile And I want her to look beautiful if Mama meets Jesus tonight I knew I'd caught a glimpse of Heaven's love As he thanked me and ran out I knew that God had sent that little boy To remind me, what Christmas is all about Sir, I want to buy these shoes for my Mama, please It's Christmas Eve and these shoes are just her size Could you hurry, sir, Daddy says there's not much time You see, she's been sick for quite awhile And I know these shoes would make her smile And I want her to look beautiful if Mama meets Jesus tonight And I want her to look beautiful if Mama meets Jesus tonight",17
"61",61,61,61,61,"The Christmas Song (Merry Christmas To You)Nat King Cole","The Christmas Song (Merry Christmas To You)","Nat King Cole",8,"Chestnuts roasting on an open fire Jack frost nipping at your nose Yuletide carols being sung by a choir And folks dressed up like eskimos Everybody knows a turkey and some mistletoe Help to make the season bright Tiny tots with their eyes all aglow Will find it hard to sleep tonight They know that santa's on his way - He's loaded lots of toys and goodies on his sleigh And ev'rymother's child is gonna spy To see if reindeer really know how to fly And so i'm offering this simple phrase To kids from one to ninety-two Although its been said many times Many ways: ""merry christmas to you"" NA",5
"62",62,62,62,62,"The Greatest Gift Of AllKenny Rogers","The Greatest Gift Of All","Kenny Rogers",4,"Dawn is slowly breaking Our friends have all gone home You and I are waiting For Santa Clause to come There's a present by the tree Stockings on the wall And knowing you're in love with me Is the greatest gift of all The fire is slowly fading Chill is in the air All the gifts are waiting For children everywhere Throught the window I can see Snow begin to fall Knowing you're in love with me Is the greatest gift of all Just before I go to sleep I hear a church bell ring Merry Christmas everyone Is the song it sings So I say a silent prayer For creatures great and small Peace on Earth, good will to men Is the greatest gift of all Peace on Earth, good will to men Is the greatest gift of all",17
"63",63,63,63,63,"The Happy ReindeerDancer, Prancer And Nervous","The Happy Reindeer","Dancer, Prancer And Nervous",6,"My Name Is Prancer Duh, uh, I'm Dancer My name is uh, my name is uh Say are you Nervous Nope We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh, we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells, oh, jingle bells Ring your happy tune Riding high up in the sky Hi there, Mr. Moon Gee, that was a lot of fun Let's do it again We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh, we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells, oh, jingle bells Ring your happy tune Riding high up in the sky Hi there, Mr. Moon And remember, everybody We're on our way to see you And you and you and you...",9
"64",64,64,64,64,"The Marvelous ToyThe Chad Mitchell Trio","The Marvelous Toy","The Chad Mitchell Trio",9,"This snowman is shaping up to be an 8 But not out of 10 The robots awake to find that they've been taped down Wondering when they'll break through these chains But little boys have action toys for brains I'm living proof it can last a long time Now the girls off the street are innocent and sweet When they're all in bed They got their make-up and dreams of wonderland Sprinkled inside their heads And soon they will change But tonight Hollywood has never seemed so strange Now mother's pray it'll last a long time I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I want to wish you merry Christmas Ho Ho Ho Now they boys are all grown up And their working their fingers to the bone They go around chasing them girls on the weekend You know they still can't be alone I've been racking my brain With thoughts of peace and love How on earth did we get so mixed up? I pray to god it don't last a long time I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I hear the sound of bells There's something on the roof I wonder what this night will bring I want to roll around like a kid in the snow I want to re-learn what I already know Just let me take flight Dressed in red, through the night On a great big sled I want to wish you merry Christmas (Can't do that) I want to wish you merry Christmas (Can't do that)",18
"65",65,65,65,65,"The Santa Claus BoogieThe Tractors","The Santa Claus Boogie","The Tractors",1,"Well I don't know, But I've been told There's something goin' on at the North Pole Santa and his elves at a factory Dancin' around the world's biggest Christmas tree They're doin' the Santa Claus boogie It's the Santa Claus boogie You've got to take some time to believe in Santa Claus My uncle Henry's got a bad back When he tries to walk, you hear him pop and crack But at Christmas time, the spirit sets him free He jumps and hollers... Doin' the Santa Claus boogie It's the Santa Claus boogie It's the Santa Claus boogie You've got to take some time to believe in Santa Claus I knew an indian girl... She was way too young She liked to talk dirty in her native tongue You've never seen nobody shake and shimmy Like an indian dancer doin' the Santa Claus boogie It's the Santa Claus boogie It's the Santa Claus boogie You've got to take some time to believe in Santa Claus",1
"66",66,66,66,66,"This ChristmasChris Brown","This Christmas","Chris Brown",5,"Hang all the mistletoe I'm gonna get to know you better This Christmas And as we trim the tree How much fun it's gonna be together This Christmas The fireside is blazing bright, woah-oh-oh We're caroling through the night, woah-oh-oh This Christmas will be A very special Christmas for me Woah-oh-oh-woah-oh-oh-oh Ha, let's go (Woo!) Presents and cards are here My world is filled with cheer and you This Christmas And as I look around Your eyes outshine the town, they do This Christmas The fireside is blazing bright And we're caroling through the night And this Christmas will be A very special Christmas for me, yeah, huh, woah-oh-oh Oh, haha, shake a hand, shake a hand now Na-na-na-na-na-na NA Ooh, the fireside is blazing bright And we're caroling through the night And this Christmas will be So special for you and me, yes, it will be Woah-oh-oh, ha Shake a hand now Come on, everybody shake a hand now, ha Family, hey We'll be together To make this Christmas bright, yes, we will",19
"67",67,67,67,67,"This Gift98 Degrees","This Gift","98 Degrees",3,"Jingle bell, jingle bell, jingle bell rock Jingle bells swing and jingle bells ring Snowin' and blowin' up bushels of fun Now, the jingle hop has begun Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancin' and prancin' in Jingle Bell Square In the frosty air What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go glidin' in a one-horse sleigh Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jinglin' feet That's the jingle bell rock Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancin' and prancin' in Jingle Bell Square In the frosty air What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go glidin' in a one-horse sleigh Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jinglin' feet That's the jingle bell That's the jingle bell That's the jingle bell rock",3
"68",68,68,68,68,"This One's For The ChildrenNew Kids On The Block","This One's For The Children","New Kids On The Block",12,"This is a very serious message So all of you please listen There are some people living in this world They have no food to eat They have no place to go But we all are God's children We've got to learn to love one another Just remember They could be us Remember, we all are brothers I'm not trying to darken up your day But help others in need And show them there's a better way This one's for the children The children of the world This one's for the children May God keep them in His throne Many people are happy And many people are sad Some people have many things That others can only wish they had So for the sake of the children Show them love's the only way to go 'Cause they are tomorrow And people, they've got to know I'm not trying to darken up your day But help others in need And show them there's a better way This one's for the children The children of the world This one's for the children May God keep them in His throne This one's for the children The children of the world This one's for the children May God keep them in His throne",10
"69",69,69,69,69,"This Time Of The YearBrook Benton","This Time Of The Year","Brook Benton",5,"Christmas always comes this time of the year Little girls and little boys Dream of worlds full of toys This time of the year When Christmas is near Evergreens are snowy white Sleigh bells ring through the night This time of the year When Christmas is near And somewhere near a steeple People kneel and pray And choirs sing Carols of Christmas day Santa Claus is on his way Loads of joy, on his sleigh This time of the year When Christmas is near Hear the sleigh bells Hear the sleigh bells Hear the sleigh bells, ring",5
"70",70,70,70,70,"Twistin' BellsSanto & Johnny","Twistin' Bells","Santo & Johnny",3,"",0
"71",71,71,71,71,"Underneath The TreeKelly Clarkson","Underneath The Tree","Kelly Clarkson",3,"You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree Tonight, I'm gonna hold you close Make sure that you know I was lost before you Christmas was cold and grey Another holiday Alone to celebrate But then, one day, everything changed You're all I need Underneath the tree You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree I found what I was looking for A love that's meant for me A heart that's mine completely Knocked me right off my feet And this year I will fall With no worries at all 'Cause you are near and everything's clear You're all I need Underneath the tree You're here where you should be Snow is falling as the carolers sing It just wasn't the same Alone on Christmas day Presents, what a beautiful sight Don't mean a thing if you ain't holding me tight You're all that I need Underneath the tree NA And then one day everything changed You're all I need Underneath the tree, yeah You're here where you should be Snow is falling as the carolers sing (Oh, yeah, yeah) It just wasn't the same (Oh, yeah, yeah, yeah) Alone on Christmas day Presents, what a beautiful sight (Oh, you're all I need) Don't mean a thing if you ain't holding me tight (Underneath the tree) You're all that I need (Underneath the tree, yeah) Underneath the tree, tonight Oh, you're all I need Underneath, underneath the tree",3
"72",72,72,72,72,"Welcome ChristmasGlee Cast","Welcome Christmas","Glee Cast",1,"New Directions Oooh, ahhh... Fahoo fores, dahoo dores Welcome Christmas, come this way Fahoo fores, dahoo dores Welcome Christmas, Christmas day Welcome, welcome fahoo ramus Welcome, welcome dahoo damus Christmas day is in our grasp So long as we have hands to clasp Fahoo fores, dahoo dores Welcome Christmas, bring your cheer Fahoo fores, dahoo dores Welcome all Whos far and near Welcome Christmas, fahoo ramus Welcome Christmas, dahoo damus Christmastime will always be Just as long as we have glee Fahoo fores, dahoo dores Welcome Christmas, bring your light Oooh, oooh, oooh, oooh...",7
"73",73,73,73,73,"What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)The Star Wars Intergalactic Droid Choir & Chorale","What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)","The Star Wars Intergalactic Droid Choir & Chorale",6,"What can you get a wookie for christmas? when he already owns a comb? What can you get in a hurry for a furry kind of friend like that to take home? Oh he doesn't need a tie clip and he doesn't use shaving foam so what can you get a wookie for christmas when he already owns a comb What can you get a wookie for christmas? when he already owns a comb? What can you get in a hurry for a furry kind of friend like that to take home? No He'll never wear goulashes or a hat upon his furry dome so what can you get a wookie for christmas when he already owns a comb Let's give him love and understanding good will to men wrap it all up in bright colored ribbon and give it to him all over again that's what you get a wookie for christmas when he already owns a comb love and understanding good will to men wrap it all up in bright colored ribbon and give it to him all over again Oh that's what you get a wookie for christmas when he already owns a comb Let's give him love and understanding good will to men wrap it all up in bright colored ribbon and give it to him all over again that's what you get a wookie for christmas when he already owns a comb that's what you get a wookie for christmas when he already owns a comb",10
"74",74,74,74,74,"When A Child Is BornMichael Holm","When A Child Is Born","Michael Holm",7,"A ray of hope flickers in the sky A tiny star lights up in your cry All across the land dawns a brand new morn' This comes to pass when a child is born The silent fish sails the seven seas The winds of change whisper in the trees And the words of doubt crumble, toss and turn This comes to pass when a child is born A rosy hue settles all around You've got the feel You're on solid ground Who first fell up no one seems forlorn This comes to pass when a child is born And all of this happens because The world is waiting, waiting for one child Black, white, yellow No one knows but a child that will grow up And turn tears into laughter Hate to love, war to peace And everyone to everyone's neighbor And misery and suffering will be words To be forgotten forever It's all a dream illusion now It must come true sometimes soon somehow All across the land dawns the brand new morn' This comes to pass when a child is born Hum, all across the land dawns a brand new morn' This comes to pass when a child is born",-3
"75",75,75,75,75,"Where Are You Christmas?Faith Hill","Where Are You Christmas?","Faith Hill",1,"Where are you Christmas Why can't I find you Why have you gone away Where is the laughter You used to bring me Why can't I hear music play My world is changing I'm rearranging Does that mean Christmas changes too Where are you Christmas Do you remember The one you used to know I'm not the same one See what the time's done Is that why you have let me go Christmas is here Everywhere, oh Christmas is here If you care, oh If there is love in your heart and your mind You will feel like Christmas all the time I feel you Christmas I know I've found you You never fade away The joy of Christmas Stays here inside us Fills each and every heart with love Where are you Christmas Fill your heart with love",10
"76",76,76,76,76,"White ChristmasBing Crosby","White Christmas","Bing Crosby",14,"I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write ""May your days be merry and bright And may all your Christmases be white"" I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write ""May your days be merry and bright And may all your Christmases be white""",6
"77",77,77,77,77,"White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney","White Christmas","The Drifters Featuring Clyde McPhatter And Bill Pinkney",2,"It was the night before Christmas when all through the castle My monsters were having a Yuletide hassle The tree was all trimmed in ghoulish things Like werewolf fangs and vampire wings (It was a monsters' holiday) But they were up to no good (It was a monsters' holiday) Didn't act like good monsters should (It was a monsters' holiday) They found themselves a new play (It was a monsters' holiday) They planned to rob Santa's sleigh They were making a list and checking it twice Frankenstein wanted a shiny new trike A new chain for Yarnush A brace for Igor's back A speed shaver for Wolfman A new cape for Drak (It was a monsters' holiday) But they were up to no good (It was a monsters' holiday) Didn't act like good monster's should (It was a monsters' holiday) They found themselves a new play (It was a monsters' holiday) They planned to rob Santa's sleigh The Mummy was to signal from the castle roof At the very first sound of a reindeer hoof As Santa slid down the chimney wall The zombies were to make off with sleigh and all From beyond the moat, there arose such a clatter I jumped to the window to see what was the matter Like a bolt of lightning, it happened so quick And there in our midst stood old Saint Nick He began to dig down deep in his sack And came up with the traction for Igor's back Drak got his cape Franky's trike made him behave Even Wolfman was happy, now he can shave (It was a monsters' holiday) And all ended well (It was a monsters' holiday) And Santa was really swell (It was a monsters' holiday) No need to rob Santa's sleigh (It was a monsters' holiday) Maybe next year he'll come back So the children everywhere were spared the grief Of losing their presents to a monster sleigh thief Now the monsters love Santa and say they'll behave And never again rob sleighs or graves (It was a monsters' holiday!) Igor, what do you think of Santa now? ""Arrrrrr, Santa good!"" And Santa said as he drove out of sight ""Merry Christmas to all and to all a good night!"" Jingle bells, jingle bells, jingle all the way Oh what fun it is to ride in a one-wolf open sleigh Dashing through the snow Where is that reindeer with the red nose On Dasher and Dancer and Comet and Cupid",11
"78",78,78,78,78,"Winter World Of LoveEngelbert Humperdinck","Winter World Of Love","Engelbert Humperdinck",9,"My love, the days are colder So let me take your hand and lead you through a snow white land My love, the year is older So, let me hold you tight and while away this winter night I see the firelight in your eyes Come kiss me now, before it dies We'll find a winter world of love Cause love is warmer in December My darlin', stay here in my arms Till summer comes along And in our winter world of love You'll see we always will remember That as the snow lay on the ground We found our winter world of love Because the nights are longer We'll have the time to say such tender things before each day And then, when love is stronger Perhaps you'll give your heart and promise me we'll never part, oh no And at the end of every year I'll be so glad to have you near We'll find a winter world of love For love is warmer in December My darlin', stay here in my arms Till summer comes along And in our winter world of love You'll see we always will remember That as the snow lay on the ground We found our winter world of love",12
